업태별,시도별,시군구별,(사업자수) 당월①,(사업자수)전월②,증감율(①/②),(사업자수)전년동월③,증감율(①/③)
가구점,서울특별시,종로구,15,15,100.00%,15,100.00%
가구점,서울특별시,중구,71,69,102.90%,70,101.43%
가구점,서울특별시,용산구,36,36,100.00%,41,87.80%
가구점,서울특별시,성동구,15,13,115.38%,14,107.14%
가구점,서울특별시,광진구,52,53,98.11%,55,94.55%
가구점,서울특별시,동대문구,31,31,100.00%,31,100.00%
가구점,서울특별시,중랑구,28,28,100.00%,32,87.50%
가구점,서울특별시,성북구,36,36,100.00%,36,100.00%
가구점,서울특별시,강북구,28,28,100.00%,30,93.33%
가구점,서울특별시,도봉구,21,21,100.00%,20,105.00%
가구점,서울특별시,노원구,44,44,100.00%,45,97.78%
가구점,서울특별시,은평구,39,40,97.50%,41,95.12%
가구점,서울특별시,서대문구,69,69,100.00%,72,95.83%
가구점,서울특별시,마포구,28,28,100.00%,26,107.69%
가구점,서울특별시,양천구,33,33,100.00%,36,91.67%
가구점,서울특별시,강서구,42,41,102.44%,42,100.00%
가구점,서울특별시,구로구,28,28,100.00%,31,90.32%
가구점,서울특별시,금천구,20,20,100.00%,20,100.00%
가구점,서울특별시,영등포구,30,31,96.77%,32,93.75%
가구점,서울특별시,동작구,19,18,105.56%,27,70.37%
가구점,서울특별시,관악구,35,35,100.00%,37,94.59%
가구점,서울특별시,서초구,97,97,100.00%,107,90.65%
가구점,서울특별시,강남구,98,98,100.00%,92,106.52%
가구점,서울특별시,송파구,73,75,97.33%,67,108.96%
가구점,서울특별시,강동구,27,27,100.00%,32,84.38%
가구점,인천광역시,중구,15,15,100.00%,15,100.00%
가구점,인천광역시,동구,13,14,92.86%,15,86.67%
가구점,인천광역시,남구,0,0,/0,52,0.00%
가구점,인천광역시,미추홀구,46,48,95.83%,0,/0
가구점,인천광역시,연수구,20,21,95.24%,20,100.00%
가구점,인천광역시,남동구,62,61,101.64%,64,96.88%
가구점,인천광역시,부평구,38,39,97.44%,40,95.00%
가구점,인천광역시,계양구,29,29,100.00%,26,111.54%
가구점,인천광역시,서구,61,60,101.67%,56,108.93%
가구점,인천광역시,강화군,6,6,100.00%,5,120.00%
가구점,인천광역시,옹진군,*,*,100.00%,*,200.00%
가구점,경기도,수원시 장안구,21,22,95.45%,22,95.45%
가구점,경기도,수원시 권선구,38,38,100.00%,39,97.44%
가구점,경기도,수원시 팔달구,31,30,103.33%,35,88.57%
가구점,경기도,수원시 영통구,18,18,100.00%,21,85.71%
가구점,경기도,성남시 수정구,23,23,100.00%,22,104.55%
가구점,경기도,성남시 중원구,32,32,100.00%,37,86.49%
가구점,경기도,성남시 분당구,52,53,98.11%,55,94.55%
가구점,경기도,의정부시,49,50,98.00%,50,98.00%
가구점,경기도,안양시 만안구,14,14,100.00%,15,93.33%
가구점,경기도,안양시 동안구,56,57,98.25%,58,96.55%
가구점,경기도,부천시,76,75,101.33%,76,100.00%
가구점,경기도,광명시,43,44,97.73%,40,107.50%
가구점,경기도,평택시,78,78,100.00%,78,100.00%
가구점,경기도,동두천시,15,15,100.00%,16,93.75%
가구점,경기도,안산시 상록구,60,60,100.00%,58,103.45%
가구점,경기도,안산시 단원구,28,28,100.00%,32,87.50%
가구점,경기도,고양시 덕양구,48,48,100.00%,47,102.13%
가구점,경기도,고양시 일산동구,85,87,97.70%,90,94.44%
가구점,경기도,고양시 일산서구,74,74,100.00%,79,93.67%
가구점,경기도,과천시,6,6,100.00%,5,120.00%
가구점,경기도,구리시,19,20,95.00%,19,100.00%
가구점,경기도,남양주시,131,129,101.55%,122,107.38%
가구점,경기도,오산시,30,30,100.00%,32,93.75%
가구점,경기도,시흥시,55,54,101.85%,59,93.22%
가구점,경기도,군포시,19,19,100.00%,22,86.36%
가구점,경기도,의왕시,28,28,100.00%,26,107.69%
가구점,경기도,하남시,38,36,105.56%,30,126.67%
가구점,경기도,용인시 처인구,41,43,95.35%,40,102.50%
가구점,경기도,용인시 기흥구,50,50,100.00%,49,102.04%
가구점,경기도,용인시 수지구,38,38,100.00%,38,100.00%
가구점,경기도,파주시,103,101,101.98%,91,113.19%
가구점,경기도,이천시,33,34,97.06%,29,113.79%
가구점,경기도,안성시,32,31,103.23%,33,96.97%
가구점,경기도,김포시,57,56,101.79%,54,105.56%
가구점,경기도,화성시,102,101,100.99%,101,100.99%
가구점,경기도,광주시,98,97,101.03%,88,111.36%
가구점,경기도,양주시,23,22,104.55%,27,85.19%
가구점,경기도,포천시,75,76,98.68%,73,102.74%
가구점,경기도,여주시,14,14,100.00%,14,100.00%
가구점,경기도,연천군,9,9,100.00%,9,100.00%
가구점,경기도,가평군,8,8,100.00%,8,100.00%
가구점,경기도,양평군,23,22,104.55%,19,121.05%
가구점,강원도,춘천시,44,45,97.78%,48,91.67%
가구점,강원도,원주시,92,96,95.83%,97,94.85%
가구점,강원도,강릉시,51,50,102.00%,56,91.07%
가구점,강원도,동해시,25,25,100.00%,24,104.17%
가구점,강원도,태백시,7,7,100.00%,8,87.50%
가구점,강원도,속초시,15,15,100.00%,18,83.33%
가구점,강원도,삼척시,5,5,100.00%,5,100.00%
가구점,강원도,홍천군,19,19,100.00%,17,111.76%
가구점,강원도,횡성군,5,5,100.00%,5,100.00%
가구점,강원도,영월군,5,5,100.00%,6,83.33%
가구점,강원도,평창군,5,5,100.00%,6,83.33%
가구점,강원도,정선군,6,6,100.00%,5,120.00%
가구점,강원도,철원군,7,7,100.00%,7,100.00%
가구점,강원도,화천군,*,*,100.00%,*,50.00%
가구점,강원도,양구군,*,*,100.00%,*,100.00%
가구점,강원도,인제군,7,7,100.00%,8,87.50%
가구점,강원도,고성군,*,*,100.00%,0,/0
가구점,강원도,양양군,3,3,100.00%,3,100.00%
가구점,대전광역시,동구,23,22,104.55%,22,104.55%
가구점,대전광역시,중구,47,46,102.17%,54,87.04%
가구점,대전광역시,서구,52,52,100.00%,52,100.00%
가구점,대전광역시,유성구,60,60,100.00%,57,105.26%
가구점,대전광역시,대덕구,32,32,100.00%,36,88.89%
가구점,충청북도,청주시 상당구,36,36,100.00%,41,87.80%
가구점,충청북도,청주시 서원구,75,77,97.40%,74,101.35%
가구점,충청북도,청주시 흥덕구,29,30,96.67%,35,82.86%
가구점,충청북도,청주시 청원구,20,20,100.00%,20,100.00%
가구점,충청북도,충주시,42,42,100.00%,45,93.33%
