업태별,시도명,시군구명,성별,(전체)당월①,(전체)전월②,증감율(①/②),(전체)전년동월③,증감율(①/③),(개인)당월①,(개인)전월②,증감율(①/②),(개인)전년동월③,증감율(①/③),(법인)당월①,(법인)전월②,증감율(①/②),(법인)전년동월③,증감율(①/③)
제조업,서울특별시,종로구,남자,"3,941","3,923",100.46%,"3,843",102.55%,"3,260","3,243",100.52%,"3,155",103.33%,681,680,100.15%,688,98.98%
제조업,서울특별시,종로구,여자,"1,509","1,510",99.93%,"1,434",105.23%,"1,307","1,304",100.23%,"1,235",105.83%,202,206,98.06%,199,101.51%
제조업,서울특별시,종로구,미상,16,15,106.67%,17,94.12%,13,13,100.00%,13,100.00%,3,*,150.00%,4,75.00%
제조업,서울특별시,중구,남자,"8,988","8,993",99.94%,"9,077",99.02%,"7,621","7,635",99.82%,"7,734",98.54%,"1,367","1,358",100.66%,"1,343",101.79%
제조업,서울특별시,중구,여자,"2,598","2,598",100.00%,"2,548",101.96%,"2,257","2,264",99.69%,"2,220",101.67%,341,334,102.10%,328,103.96%
제조업,서울특별시,중구,미상,15,15,100.00%,14,107.14%,10,10,100.00%,10,100.00%,5,5,100.00%,4,125.00%
제조업,서울특별시,용산구,남자,"1,403","1,393",100.72%,"1,395",100.57%,962,950,101.26%,956,100.63%,441,443,99.55%,439,100.46%
제조업,서울특별시,용산구,여자,583,593,98.31%,549,106.19%,475,484,98.14%,447,106.26%,108,109,99.08%,102,105.88%
제조업,서울특별시,용산구,미상,5,5,100.00%,6,83.33%,3,3,100.00%,4,75.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,성동구,남자,"4,494","4,491",100.07%,"4,530",99.21%,"3,198","3,199",99.97%,"3,245",98.55%,"1,296","1,292",100.31%,"1,285",100.86%
제조업,서울특별시,성동구,여자,"1,304","1,307",99.77%,"1,257",103.74%,991,990,100.10%,968,102.38%,313,317,98.74%,289,108.30%
제조업,서울특별시,성동구,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,광진구,남자,"1,890","1,888",100.11%,"1,931",97.88%,"1,383","1,376",100.51%,"1,414",97.81%,507,512,99.02%,517,98.07%
제조업,서울특별시,광진구,여자,728,709,102.68%,702,103.70%,602,588,102.38%,583,103.26%,126,121,104.13%,119,105.88%
제조업,서울특별시,광진구,미상,5,5,100.00%,5,100.00%,4,4,100.00%,4,100.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,동대문구,남자,"3,130","3,134",99.87%,"3,151",99.33%,"2,502","2,510",99.68%,"2,544",98.35%,628,624,100.64%,607,103.46%
제조업,서울특별시,동대문구,여자,"1,039","1,047",99.24%,"1,046",99.33%,893,905,98.67%,898,99.44%,146,142,102.82%,148,98.65%
제조업,서울특별시,동대문구,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
제조업,서울특별시,중랑구,남자,"2,488","2,481",100.28%,"2,447",101.68%,"2,187","2,182",100.23%,"2,143",102.05%,301,299,100.67%,304,99.01%
제조업,서울특별시,중랑구,여자,"1,051","1,048",100.29%,"1,023",102.74%,966,965,100.10%,942,102.55%,85,83,102.41%,81,104.94%
제조업,서울특별시,중랑구,미상,4,4,100.00%,5,80.00%,3,3,100.00%,4,75.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,성북구,남자,"2,099","2,096",100.14%,"2,071",101.35%,"1,820","1,820",100.00%,"1,794",101.45%,279,276,101.09%,277,100.72%
제조업,서울특별시,성북구,여자,895,899,99.56%,852,105.05%,804,808,99.50%,766,104.96%,91,91,100.00%,86,105.81%
제조업,서울특별시,성북구,미상,9,9,100.00%,10,90.00%,9,9,100.00%,10,90.00%,,,,,
제조업,서울특별시,강북구,남자,"1,433","1,431",100.14%,"1,403",102.14%,"1,270","1,271",99.92%,"1,248",101.76%,163,160,101.88%,155,105.16%
제조업,서울특별시,강북구,여자,570,563,101.24%,522,109.20%,528,523,100.96%,485,108.87%,42,40,105.00%,37,113.51%
제조업,서울특별시,강북구,미상,4,4,100.00%,4,100.00%,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,도봉구,남자,"1,106","1,102",100.36%,"1,103",100.27%,962,961,100.10%,959,100.31%,144,141,102.13%,144,100.00%
제조업,서울특별시,도봉구,여자,392,397,98.74%,389,100.77%,359,360,99.72%,350,102.57%,33,37,89.19%,39,84.62%
제조업,서울특별시,도봉구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
제조업,서울특별시,노원구,남자,"1,139","1,136",100.26%,"1,135",100.35%,871,868,100.35%,857,101.63%,268,268,100.00%,278,96.40%
제조업,서울특별시,노원구,여자,472,471,100.21%,442,106.79%,414,411,100.73%,391,105.88%,58,60,96.67%,51,113.73%
제조업,서울특별시,노원구,미상,4,4,100.00%,3,133.33%,4,4,100.00%,3,133.33%,,,,,
제조업,서울특별시,은평구,남자,"1,260","1,263",99.76%,"1,238",101.78%,"1,032","1,038",99.42%,"1,033",99.90%,228,225,101.33%,205,111.22%
제조업,서울특별시,은평구,여자,576,568,101.41%,560,102.86%,526,520,101.15%,510,103.14%,50,48,104.17%,50,100.00%
제조업,서울특별시,은평구,미상,7,7,100.00%,7,100.00%,6,6,100.00%,6,100.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,서대문구,남자,978,973,100.51%,947,103.27%,775,770,100.65%,747,103.75%,203,203,100.00%,200,101.50%
제조업,서울특별시,서대문구,여자,488,482,101.24%,460,106.09%,427,421,101.43%,406,105.17%,61,61,100.00%,54,112.96%
